pemain,sutradara,judul_sinetron
Dhini Aminarti,Leo Sutanto,Anugerah (sinetron)
Nabila Syakieb,Leo Sutanto,Anugerah (sinetron)
Sheila Marcia,Leo Sutanto,Anugerah (sinetron)
Samuel Zylgwyn,Leo Sutanto,Anugerah (sinetron)
Samuel Rizal,Leo Sutanto,Cinta dan Anugerah
Alexandra Gottardo,Leo Sutanto,Cinta dan Anugerah
Nabila Syakieb,Leo Sutanto,Cinta dan Anugerah
Putri Titian,Leo Sutanto,Cinta dan Anugerah
Arifin Putra,Leo Sutanto,Cinta dan Anugerah
Aura Kasih,Leo Sutanto,Cinta dan Anugerah
Fandy Christian,Leo Sutanto,Cinta dan Anugerah
Jonas Rivanno,Leo Sutanto,Cinta dan Anugerah
Fero Walandouw,Leo Sutanto,Cinta dan Anugerah
Ketrin Agustine,Leo Sutanto,Cinta dan Anugerah
Yasmine Leeds,Leo Sutanto,Cinta dan Anugerah
Giovanni L. Tobing,Leo Sutanto,Cinta dan Anugerah
Teuku Wisnu,Manoj Punjabi,Cinta Fitri
Verlita Evelyn,Manoj Punjabi,Cinta Fitri
Meidiana Hutomo,Manoj Punjabi,Cinta Fitri
Nuri Maulida,Manoj Punjabi,Cinta Fitri
Shireen Sungkar,Manoj Punjabi,Cinta Fitri
Adly Fairuz,Manoj Punjabi,Cinta Fitri
Donita,Manoj Punjabi,Cinta Fitri
Irene Librawati,Manoj Punjabi,Cinta Fitri
Lian Firman,Manoj Punjabi,Cinta Fitri
Iqbal Pakula,Manoj Punjabi,Cinta Fitri
Dinda Kanyadewi,Manoj Punjabi,Cinta Fitri
Sandy Syarief,Manoj Punjabi,Cinta Fitri
Rachel Amanda,Leo Sutanto,Kejora dan Bintang
Devi Permatasari,Manoj Punjabi,Melati untuk Marvel
Mpok Atiek,Manoj Punjabi,Melati untuk Marvel
Rezky Aditya,Manoj Punjabi,Melati untuk Marvel
Emma Waroka,Manoj Punjabi,Melati untuk Marvel
Afifa Syahira,Manoj Punjabi,Melati untuk Marvel
Christ Laurent,Manoj Punjabi,Melati untuk Marvel
Chelsea Olivia Wijaya,Manoj Punjabi,Melati untuk Marvel
Fendy Heryanto,Manoj Punjabi,Melati untuk Marvel
Dhini Aminarti,Leo Sutanto,Wulan (sinetron)
Kinaryosih,Leo Sutanto,Wulan (sinetron)
Aditya Herpavi Rachman,Leo Sutanto,Wulan (sinetron)
Asmirandah,Leo Sutanto,Wulan (sinetron)
Shireen Sungkar,Leo Sutanto,Wulan (sinetron)
Alice Norin,Leo Sutanto,Wulan (sinetron)
Rio Reifan,Leo Sutanto,Wulan (sinetron)
Giovani L.Tobing,Leo Sutanto,Wulan (sinetron)
Cha Cha Frederica,Leo Sutanto,Wulan (sinetron)
Agus Kuncoro,Deddy Mizwar,Para Pencari Tuhan
Deddy Mizwar,Deddy Mizwar,Para Pencari Tuhan
Zaskia Adya Mecca,Deddy Mizwar,Para Pencari Tuhan
Akri,Deddy Mizwar,Para Pencari Tuhan
Nimaz Dewantary,Leo Sutanto,Mutiara (Sinetron)
Stuart Collin,Leo Sutanto,Mutiara (Sinetron)
Dhea Annisa,Leo Sutanto,Mutiara (Sinetron)
Ade Surya Akbar,Leo Sutanto,Mutiara (Sinetron)
Rani Mukerji,Raam Punjabi,Tuyul dan Mbak Yul
Tia Ivanka,Raam Punjabi,Tuyul dan Mbak Yul
Gracia Indri,Raam Punjabi,Tuyul dan Mbak Yul
Ersa Mayori,Raam Punjabi,Tuyul dan Mbak Yul
Ony Syahrial,Raam Punjabi,Tuyul dan Mbak Yul
Dominique Sanda,Raam Punjabi,Tuyul dan Mbak Yul
Rachel Amanda,Leo Sutanto,Namaku Mentari
Jessica Anastasya,Leo Sutanto,Namaku Mentari
Nimaz Dewantary,Leo Sutanto,Namaku Mentari
Febby Rastanty,Leo Sutanto,Namaku Mentari
Andrew White,Leo Sutanto,Ada Apa dengan Cinta? (sinetron)
Revaldo,Leo Sutanto,Ada Apa dengan Cinta? (sinetron)
Ririn Dwi Ariyanti,Leo Sutanto,Ada Apa dengan Cinta? (sinetron)
Syarmi Amanda,Leo Sutanto,Ada Apa dengan Cinta? (sinetron)
Olivia Zalianty,Leo Sutanto,Ada Apa dengan Cinta? (sinetron)
Nadia Saphira,Leo Sutanto,Ada Apa dengan Cinta? (sinetron)
Dwi Andhika,Leo Sutanto,Ada Apa dengan Cinta? (sinetron)
Bunga Citra Lestari,Manoj Punjabi,Bayu Cinta Luna
Naysila Mirdad,Leo Sutanto,Doa dan Karunia
Shireen Sungkar,Manoj Punjabi,Kisah Adinda
Anneke Jodi,Manoj Punjabi,Kisah Adinda
Kesha Ratuliu,Manoj Punjabi,Kisah Adinda
Mikha Tambayong,Manoj Punjabi,Kisah Adinda
Marsha Aruan,Manoj Punjabi,Kisah Adinda
Chelsea Olivia Wijaya,Manoj Punjabi,Kisah Adinda
Asmirandah,Leo Sutanto,Kemilau Cinta Kamila
Indra Bruggman,Manoj Punjabi,Jangan Ambil Anakku
Gritte Agatha,Chand Parwez Servia,Get Married The Series
Bunga Citra Lestari,Raam Punjabi,ABG (sinetron)
Tommy Kurniawan,Raam Punjabi,ABG (sinetron)
Dimas Seto,Raam Punjabi,ABG (sinetron)
Asha Shara,Raam Punjabi,ABG (sinetron)
Fitri Tropica,Raam Punjabi,ABG (sinetron)
Baim Wong,Leo Sutanto,Cincin (sinetron)
Dude Harlino,Leo Sutanto,Cincin (sinetron)
Ririn Dwi Ariyanti,Leo Sutanto,Cincin (sinetron)
Diva Nadia,Leo Sutanto,Cincin (sinetron)
Chelsea Olivia Wijaya,Leo Sutanto,Cincin (sinetron)
Marshanda,Leo Sutanto,Kisah Sedih di Hari Minggu (sinetron)
Gading Marten,Leo Sutanto,Kisah Sedih di Hari Minggu (sinetron)
Chacha Frederica,Leo Sutanto,Kisah Sedih di Hari Minggu (sinetron)
Dhea Ananda,Leo Sutanto,Kisah Sedih di Hari Minggu (sinetron)
Egi John Foreisythe,Leo Sutanto,Kisah Sedih di Hari Minggu (sinetron)
Sandra Dewi,Manoj Punjabi,Cahaya Cinta
Chico Jericho,Manoj Punjabi,Cahaya Cinta
Agnes Monica,Leo Sutanto,Cewekku Jutek
Roger Danuarta,Leo Sutanto,Cewekku Jutek
Nena Rosier,Leo Sutanto,Cewekku Jutek
Poppy Maretha,Leo Sutanto,Cewekku Jutek
Masayu Anastasia,Leo Sutanto,Jangan Ucapkan Cinta
Dian Nitami,Leo Sutanto,Jangan Ucapkan Cinta
Ari Wibowo,Leo Sutanto,Jangan Ucapkan Cinta
Maudy Koesnaedi,Leo Sutanto,Jangan Ucapkan Cinta
Anwar Fuady,Leo Sutanto,Jangan Ucapkan Cinta
Cut Keke,Raam Punjabi,Kecil-Kecil Jadi Manten
Sukma Ayu,Raam Punjabi,Kecil-Kecil Jadi Manten
Sahrul Gunawan,Raam Punjabi,Kecil-Kecil Jadi Manten
Rheina Maryana,Raam Punjabi,Kecil-Kecil Jadi Manten
Robby Tumewu,Raam Punjabi,Kecil-Kecil Jadi Manten
Nenny Triana,Raam Punjabi,Kecil-Kecil Jadi Manten
Jimmy Gideon,Raam Punjabi,Kecil-Kecil Jadi Manten
Didi Riyadi,Raam Punjabi,Jin dan Jun
Sahrul Gunawan,Raam Punjabi,Jin dan Jun
Zacky Zimah,Raam Punjabi,Jin dan Jun
Robert Syarif,Raam Punjabi,Jin dan Jun
Misye Arsita,Raam Punjabi,Jin dan Jun
Zaskia Adya Mecca,Raam Punjabi,Habibi dan Habibah
Tia Ivanka,Raam Punjabi,Habibi dan Habibah
Tommy Kurniawan,Raam Punjabi,Habibi dan Habibah
Ratu Felisha,Raam Punjabi,Habibi dan Habibah
Natalie Sarah,Raam Punjabi,Habibi dan Habibah
Aditya Firmansyah,Raam Punjabi,Habibi dan Habibah
Indra Bruggman,Raam Punjabi,Jinny oh Jinny
Anya Dwinov,Raam Punjabi,Jinny oh Jinny
Diana Pungky,Raam Punjabi,Jinny oh Jinny
Marcell Darwin,Raam Punjabi,Khadijah dan Khalifah
Angelica Faustina,Raam Punjabi,Khadijah dan Khalifah
Rana Audi Marissa,Raam Punjabi,Khadijah dan Khalifah
Baim Wong,Raam Punjabi,Jangan Berhenti Mencintaiku
Kadek Devie,Raam Punjabi,Jangan Berhenti Mencintaiku
Tommy Kurniawan,Raam Punjabi,Jangan Berhenti Mencintaiku
Ibnu Jamil,Raam Punjabi,Jangan Berhenti Mencintaiku
Leily Sagita,Raam Punjabi,Jangan Berhenti Mencintaiku
Adjie Pangestu,Raam Punjabi,Jangan Berhenti Mencintaiku
Kirana Larasati,Raam Punjabi,Jangan Berhenti Mencintaiku
Teuku Wisnu,Manoj Punjabi,Ranum (sinetron)
Shireen Sungkar,Manoj Punjabi,Ranum (sinetron)
Laudya Cynthia Bella,Manoj Punjabi,Kesucian Cinta
Andrew Andika,Manoj Punjabi,Kesucian Cinta
Chico Jericho,Manoj Punjabi,Aishiteru (sinetron)
Mikha Tambayong,Manoj Punjabi,Aishiteru (sinetron)
Marcel Chandrawinata,Manoj Punjabi,Bulan Di Atas Mentari
Tamara Bleszynski,Raam Punjabi,Anakku Terlahir Kembali
Leily Sagita,Raam Punjabi,Anakku Terlahir Kembali
Desy Ratnasari,Raam Punjabi,Anakku Terlahir Kembali
Sahrul Gunawan,Raam Punjabi,Anakku Terlahir Kembali
Jeremy Thomas,Raam Punjabi,Anakku Terlahir Kembali
Kirey,Raam Punjabi,Anakku Terlahir Kembali
Amanda William,Leo Sutanto,Sesuci Cinta Sophia (Tidak Wujud)
Baim Wong,Raam Punjabi,7 Tanda Cinta
Bunga Citra Lestari,Raam Punjabi,7 Tanda Cinta
Raffi Ahmad,Raam Punjabi,7 Tanda Cinta
Teuku Zacky,Raam Punjabi,7 Tanda Cinta
Alda Risma,Raam Punjabi,7 Tanda Cinta
Zacky Zimah,Raam Punjabi,7 Tanda Cinta
Ananda Lontoh,Raam Punjabi,7 Tanda Cinta
Alexandra Gottardo,Leo Sutanto,Khanza
Rorencia Natassia,Leo Sutanto,Khanza
Rima Melati,Leo Sutanto,Khanza
Velove Vexia,Leo Sutanto,Khanza
Debby Sahertian,Leo Sutanto,Khanza
Robby Tumewu,Leo Sutanto,Khanza
Ali Syakieb,Leo Sutanto,Khanza
Sigit Hardadi,Leo Sutanto,Khanza
Jonas Rivanno,Leo Sutanto,Khanza
Nikita Willy,Raam Punjabi,Senyuman Amanda
Surya Saputra,Raam Punjabi,Senyuman Amanda
Annisa Trihapsari,Raam Punjabi,Senyuman Amanda
Gracia Indri,Raam Punjabi,Senyuman Amanda
Evan Sanders,Manoj Punjabi,Cinta Sejati
Chelsea Olivia Wijaya,Manoj Punjabi,Cinta Sejati
Nikita Willy,Leo Sutanto,Yusra dan Yumna
Olga Syahputra,Leo Sutanto,Yusra dan Yumna
Tengku Firmansyah,Leo Sutanto,Yusra dan Yumna
Putri Titian,Leo Sutanto,Yusra dan Yumna
Lucky Perdana,Leo Sutanto,Yusra dan Yumna
Debby Cynthia Dewi,Leo Sutanto,Yusra dan Yumna
Gisela Cindy,Leo Sutanto,Yusra dan Yumna
Rezky Aditya,Leo Sutanto,Yusra dan Yumna
Jessica Mila Agnesia,Leo Sutanto,Yusra dan Yumna
Nadya Almira,Leo Sutanto,Yusra dan Yumna
Dina Lorenza,Leo Sutanto,Kodrat
Egi John Foreisythe,Leo Sutanto,Kodrat
Aiman Ricky,Leo Sutanto,Kodrat
Chelsea Olivia Wijaya,Leo Sutanto,Kodrat
Ayu Azhari,Leo Sutanto,Tali Kasih
Della Puspita,Leo Sutanto,Tali Kasih
Sahrul Gunawan,Leo Sutanto,Tali Kasih
Lola Amaria,Leo Sutanto,Tali Kasih
Sophia Latjuba,Leo Sutanto,Tali Kasih
Hikmal Abrar,Screenplay Productions,Putih Abu-Abu
Aline Adita,Screenplay Productions,Putih Abu-Abu
Amara,Screenplay Productions,Putih Abu-Abu
Derby Romero,Screenplay Productions,Putih Abu-Abu
Joshua Pandelaki,Screenplay Productions,Putih Abu-Abu
Hardi Fadhillah,Screenplay Productions,Putih Abu-Abu
Eza Gionino,Screenplay Productions,Putih Abu-Abu
Immanuel Kenneth Santana,Screenplay Productions,Putih Abu-Abu
Blink,Screenplay Productions,Putih Abu-Abu
Kiki Azhari,Screenplay Productions,Putih Abu-Abu
Ratna Kharisma Adzana,Screenplay Productions,Putih Abu-Abu
Febby Rastanty,Screenplay Productions,Putih Abu-Abu
Nafa Urbach,Manoj Punjabi,Segalanya Cinta
Jonathan Frizzy,Manoj Punjabi,Segalanya Cinta
Ria Irawan,Manoj Punjabi,Segalanya Cinta
Chelsea Olivia,Manoj Punjabi,Segalanya Cinta
Adly Fairuz,Manoj Punjabi,Segalanya Cinta
Yati Surachman,Manoj Punjabi,Segalanya Cinta
Estelle Linden,Manoj Punjabi,Segalanya Cinta
Dicky Wahyudi,Manoj Punjabi,Segalanya Cinta
Amanda William,Manoj Punjabi,Segalanya Cinta
Febby Febiola,Manoj Punjabi,Segalanya Cinta
Dude Harlino,Leo Sutanto,Dewi Penjaga Rindu
Julie Estelle,Leo Sutanto,Dewi Penjaga Rindu
Mischa Chandrawinata,Leo Sutanto,Dewi Penjaga Rindu
Naysila Mirdad,Leo Sutanto,Dewi Penjaga Rindu
Kadek Devie,Raam Punjabi,Beningnya Cinta
Fanny Fabriana,Raam Punjabi,Beningnya Cinta
Samuel Zylgwyn,Raam Punjabi,Beningnya Cinta
Sandy Tumiwa,Raam Punjabi,Beningnya Cinta
Jeremy Thomas,Raam Punjabi,Beningnya Cinta
Cici Tegal,Raam Punjabi,Beningnya Cinta
Tia Ivanka,Leo Sutanto,Dara Kawin Lari (sinetron)
Ari Wibowo,Leo Sutanto,Dara Kawin Lari (sinetron)
Asmirandah,Leo Sutanto,Dara Kawin Lari (sinetron)
Vira Yuniar,Leo Sutanto,Dara Kawin Lari (sinetron)
Miller,Leo Sutanto,Dara Kawin Lari (sinetron)
Keira Shabira,Leo Sutanto,Dara Kawin Lari (sinetron)
Rezky Aditya,Leo Sutanto,Dara Kawin Lari (sinetron)
Michella Putri,Leo Sutanto,Dara Kawin Lari (sinetron)
Kevin Andrean,Leo Sutanto,Dara Kawin Lari (sinetron)
Putri Anne,Leo Sutanto,Dara Kawin Lari (sinetron)
Nasya Marcella,Leo Sutanto,Yang Masih di Bawah Umur
Muhammad Sidik Edward,Leo Sutanto,Yang Masih di Bawah Umur
Super Idola Band,Leo Sutanto,Yang Masih di Bawah Umur
Zaskia Sungkar,Manoj Punjabi,Si Alif
Bemby Putuanda,Manoj Punjabi,Si Alif
Nana Khairina,Manoj Punjabi,Si Alif
Oka Antara,Manoj Punjabi,Kami Bukan Malaikat
Donita,Manoj Punjabi,Kami Bukan Malaikat
Niken Anjani,Manoj Punjabi,Kami Bukan Malaikat
Reza Pahlevi,Manoj Punjabi,Kami Bukan Malaikat
Dicky Wahyudi,Manoj Punjabi,Kami Bukan Malaikat
Dinda Kanyadewi,Manoj Punjabi,Kami Bukan Malaikat
Samuel Rizal,Leo Sutanto,Cinta Dan Anugerah 2
Alexandra Gottardo,Leo Sutanto,Cinta Dan Anugerah 2
Nabila Syakieb,Leo Sutanto,Cinta Dan Anugerah 2
Putri Titian,Leo Sutanto,Cinta Dan Anugerah 2
Arifin Putra,Leo Sutanto,Cinta Dan Anugerah 2
Aura Kasih,Leo Sutanto,Cinta Dan Anugerah 2
Yasmine Wildblood,Leo Sutanto,Cinta Dan Anugerah 2
Fandy Christian,Leo Sutanto,Cinta Dan Anugerah 2
Jonas Rivanno,Leo Sutanto,Cinta Dan Anugerah 2
Fero Walandouw,Leo Sutanto,Cinta Dan Anugerah 2
Ketrin Agustine,Leo Sutanto,Cinta Dan Anugerah 2
Giovani Yosafat Tobing,Leo Sutanto,Cinta Dan Anugerah 2
Dude Harlino,Leo Sutanto,Catatan Harian Dinda
Julie Estelle,Leo Sutanto,Catatan Harian Dinda
Mischa Chandrawinata,Leo Sutanto,Catatan Harian Dinda
Naysila Mirdad,Leo Sutanto,Catatan Harian Dinda
Samuel Zylgwyn,Leo Sutanto,Berkah
Meyda Sefira,Leo Sutanto,Berkah
Irish Bella,Leo Sutanto,Berkah
Alexandra Gottardo,Leo Sutanto,Cinta dan Anugerah 2
Nabila Syakieb,Leo Sutanto,Cinta dan Anugerah 2
Arifin Putra,Leo Sutanto,Cinta dan Anugerah 2
Aura Kasih,Leo Sutanto,Cinta dan Anugerah 2
Yasmine Wildblood,Leo Sutanto,Cinta dan Anugerah 2
Jonas Rivanno,Leo Sutanto,Cinta dan Anugerah 2
Fero Walandouw,Leo Sutanto,Cinta dan Anugerah 2
Ketrin Agustine,Leo Sutanto,Cinta dan Anugerah 2
Giovanni L. Tobing,Leo Sutanto,Cinta dan Anugerah 2
Inul Daratista,Leo Sutanto,Gara-Gara Inul
Titiek Puspa,Leo Sutanto,Gara-Gara Inul
Tamara Geraldine,Leo Sutanto,Gara-Gara Inul
Denny Malik,Leo Sutanto,Gara-Gara Inul
Sandra Dewi,Leo Sutanto,Putri Bidadari
Atalarik Syah,Leo Sutanto,Putri Bidadari
Rionaldo Stockhorst,Leo Sutanto,Di Sini Ada Setan (sinetron)
Lia Ananta,Leo Sutanto,Di Sini Ada Setan (sinetron)
Nagita Slavina,Leo Sutanto,Di Sini Ada Setan (sinetron)
Thomas Nawilis,Leo Sutanto,Di Sini Ada Setan (sinetron)
Intan Ayu Purnama,Leo Sutanto,Di Sini Ada Setan (sinetron)
Jennifer Arnelita,Leo Sutanto,Di Sini Ada Setan (sinetron)
Diva Nadia,Leo Sutanto,Di Sini Ada Setan (sinetron)
Fachry Albar,Manoj Punjabi,Tobat Sambel
Laudya Cynthia Bella,Manoj Punjabi,Tobat Sambel
Aiman Ricky,Manoj Punjabi,Tobat Sambel
Indah Indriana,Leo Sutanto,Pembantu dan Tukang Ojek
Nikita Willy,Leo Sutanto,Surat Kecil Untuk Tuhan The Series
Anjasmara,Leo Sutanto,Surat Kecil Untuk Tuhan The Series
Lucky Perdana,Leo Sutanto,Surat Kecil Untuk Tuhan The Series
Rezky Aditya,Leo Sutanto,Surat Kecil Untuk Tuhan The Series
Aurelie Moeremans,Leo Sutanto,Surat Kecil Untuk Tuhan The Series
Giorgino Abraham,Leo Sutanto,Surat Kecil Untuk Tuhan The Series
Bemby Putuanda,Manoj Punjabi,Si Alif Season 2
Desy Ratnasari,Manoj Punjabi,Si Alif Season 2
Donita,Manoj Punjabi,Si Alif Season 2
Joshua Suherman,Leo Sutanto,Magic (sinetron)
Putri Titian,Leo Sutanto,Magic (sinetron)
Lucky Perdana,Leo Sutanto,Magic (sinetron)
Bobby Joseph,Leo Sutanto,Magic (sinetron)
Cut Meyriska,Leo Sutanto,Magic (sinetron)
Nasya Marcella,Leo Sutanto,Magic (sinetron)
Giorgino Abraham,Leo Sutanto,Magic (sinetron)
Aurellie Moeremans,Leo Sutanto,Magic (sinetron)
Mikha Tambayong,Manoj Punjabi,Kinara (sinetron)
Estelle Linden,Manoj Punjabi,Kinara (sinetron)
Dicky Wahyudi,Manoj Punjabi,Kinara (sinetron)
Ajun Perwira,Manoj Punjabi,Kinara (sinetron)
Silvana Herman,Manoj Punjabi,Kinara (sinetron)
Indra Bruggman,Manoj Punjabi,Somad
Zora Vidyanata,Manoj Punjabi,Somad
Rico Karindra,Manoj Punjabi,Somad
Nabila Syakieb,Leo Sutanto,Aqeela dan 3 Bujangan
Baim Wong,Leo Sutanto,Cinta 7 Susun
Cut Memey,Leo Sutanto,Cinta 7 Susun
Mischa Chandrawinata,Leo Sutanto,Cinta 7 Susun
Raya Kohandi,Leo Sutanto,Cinta 7 Susun
Minati Atmanegara,Leo Sutanto,Cinta 7 Susun
Rico Tampatty,Leo Sutanto,Cinta 7 Susun
Malih,Leo Sutanto,Cinta 7 Susun
Gunawan Sudradjat,Leo Sutanto,Cinta 7 Susun
Shandy Ishabella,Leo Sutanto,Cinta 7 Susun
Mario Maulana,Leo Sutanto,Cinta 7 Susun
Devi Noviaty,Leo Sutanto,Cinta 7 Susun
Gege Elisa,Leo Sutanto,Cinta 7 Susun
Sandra Dewi,Leo Sutanto,Sandra Bukan Nabila
Fachry Albar,Leo Sutanto,Sandra Bukan Nabila
Nabila Syakieb,Leo Sutanto,Sandra Bukan Nabila
Christian Sugiono,Leo Sutanto,Yang Muda Yang Bercinta (sinetron)
Samuel Rizal,Leo Sutanto,Yang Muda Yang Bercinta (sinetron)
Cut Keke,Leo Sutanto,Yang Muda Yang Bercinta (sinetron)
Alyssa Soebandono,Leo Sutanto,Yang Muda Yang Bercinta (sinetron)
Ana Pinem,Leo Sutanto,Yang Muda Yang Bercinta (sinetron)
Yasmine Wildblood,Leo Sutanto,Yang Muda Yang Bercinta (sinetron)
Michella Putri,Leo Sutanto,Yang Muda Yang Bercinta (sinetron)
Chrissie Vanessa,Leo Sutanto,Yang Muda Yang Bercinta (sinetron)
Stefan William,Leo Sutanto,Yang Muda Yang Bercinta (sinetron)
Omaswati,Leo Sutanto,Yang Muda Yang Bercinta (sinetron)
Baim Wong,Leo Sutanto,Diva (sinetron)
Nirina Zubir,Leo Sutanto,Diva (sinetron)
Ana Pinem,Leo Sutanto,Diva (sinetron)
Rico Tampatty,Leo Sutanto,Diva (sinetron)
Connie Sutedja,Leo Sutanto,Diva (sinetron)
Lidya Kandou,Leo Sutanto,Diva (sinetron)
Cut Memey,Leo Sutanto,Mister Olga (sinetron)
Nikita Willy,Leo Sutanto,Mister Olga (sinetron)
Olga Syahputra,Leo Sutanto,Mister Olga (sinetron)
Jaja Mihardja,Leo Sutanto,Mister Olga (sinetron)
Meriam Bellina,Manoj Punjabi,Ali James Bon
Shireen Sungkar,Manoj Punjabi,Ali James Bon
Ibnu Jamil,Manoj Punjabi,Ali James Bon
Desy Ratnasari,Manoj Punjabi,Ali James Bon
Zainal Abidin Domba,Manoj Punjabi,Ali James Bon
Fanny Bauty,Manoj Punjabi,Ali James Bon
Amanda William,Manoj Punjabi,Ali James Bon
Cut Meyriska,Leo Sutanto,Tendangan Dari Langit The Series
Jessica Mila,Leo Sutanto,Tendangan Dari Langit The Series
Ray Prasetya,Leo Sutanto,Tendangan Dari Langit The Series
Dude Harlino,Leo Sutanto,Jodohku (sinetron)
Rionaldo Stockhorst,Leo Sutanto,Jodohku (sinetron)
Naysila Mirdad,Leo Sutanto,Jodohku (sinetron)
Nasya Marcella,Leo Sutanto,Akibat Pernikahan Dini
Neneng Rosediana,Leo Sutanto,Akibat Pernikahan Dini
Stefan William,Leo Sutanto,Akibat Pernikahan Dini
Cut Memey,Leo Sutanto,Alhamdulillah (sinetron)
Cut Keke,Leo Sutanto,Alhamdulillah (sinetron)
Asmirandah,Leo Sutanto,Alhamdulillah (sinetron)
Raya Kohandi,Leo Sutanto,Alhamdulillah (sinetron)
Jonas Rivanno,Leo Sutanto,Alhamdulillah (sinetron)
Fachri Muhammad,Leo Sutanto,Alhamdulillah (sinetron)
Julie Estelle,Leo Sutanto,Aprilio dan Julie
Kevin Aprilio,Leo Sutanto,Aprilio dan Julie
Ketrin Agustine,Leo Sutanto,Aprilio dan Julie
Ana Octarina,Leo Sutanto,Aprilio dan Julie
Danita Vinarosa Sigarlaki,Leo Sutanto,Aprilio dan Julie
Elma Agustin,Leo Sutanto,Aprilio dan Julie
Rachel Octavia,Leo Sutanto,Aprilio dan Julie
Patricia Devina,Leo Sutanto,Aprilio dan Julie
Titi Kamal,Manoj Punjabi,Lara (sinetron)
Marcel Chandrawinata,Manoj Punjabi,Lara (sinetron)
Rama Michael,Manoj Punjabi,Lara (sinetron)
Dinda Kanya Dewi,Manoj Punjabi,Lara (sinetron)
Febby Lawrence,Manoj Punjabi,Lara (sinetron)
Luna Maya,Manoj Punjabi,Tendangan Si Madun Musim 3
Kinaryosih,Manoj Punjabi,Tendangan Si Madun Musim 3
Adam Jordan,Manoj Punjabi,Tendangan Si Madun Musim 3
Donita,Manoj Punjabi,Tendangan Si Madun Musim 3
Asrul Dahlan,Manoj Punjabi,Tendangan Si Madun Musim 3
Marsha Aruan,Manoj Punjabi,Tendangan Si Madun Musim 3
Gritte Agatha,Manoj Punjabi,Tendangan Si Madun Musim 3
Yusuf Mahardika,Manoj Punjabi,Tendangan Si Madun Musim 3
